,rule_title,rule_text
243,arse,British English; ass American English
244,arsing about,rather than arseing
245,art movements,"are generally lowercase, eg art deco, art nouveau, cubism, dadaism, expressionism, gothic, impressionism, pop art, surrealism, etc, but note Bauhaus, Modern (in the sense of Modern British, to distinguish it from “modern art”, pre-Raphaelite, Romantic (to differentiate between a romantic painting and a Romantic painting)"
246,artefact,
247,artificial intelligence,AI on second mention and in headlines. Be careful not to overuse. An AI system is one able to improve from previous experiences or one created through training and learning rather than human coding or simple algorithms
248,artist,"not artiste (except, possibly, in a historical context)"
249,Arts and Crafts movement,
250,"Arts Council England, Arts Council of Wales, Creative Scotland",
251,as ... as,"“The hawthorn may be as old, if not older, than the stone tower of the windmill,” which appeared in the paper, should have read: “The hawthorn may be as old as, if not older than, the stone tower of the windmill.”

A common error that is quite easy to spot if you try to read it without the phrase inside the commas: as old ... than (wrong); as old ... as (right)"
252,as or since?,"“As” is causal: I cannot check the online style guide as the connection is down; “since” is temporal: Luckily, I have had the latest edition of Guardian Style on my desk since it was published"
253,asbo,antisocial behaviour order
254,"ascendancy, ascendant",
255,Asean,Association of Southeast (sic) Asian Nations
256,Ash,Action on Smoking and Health
257,"Ashton, Catherine","The former EU foreign minister (strictly “high representative of the union for foreign affairs and security policy”) is Catherine Ashton at first mention, Lady Ashton at second mention, and thereafter simply Ashton"
258,Ashura,"a day of voluntary fasting for Muslims; Shia Muslims also commemorate the martyrdom of Hussein, a grandson of the prophet, so for them it is not a festival but a day of mourning"
259,Asio,"Australian Security and Intelligence Service, the country’s domestic counter-intelligence and security agency (the equivalent of Britain’s MI5)"
260,Asperger syndrome,"but it is acceptable to call it Asperger’s for short. Some people dislike the name because of the association with Hans Asperger, or consider it outdated, so it is better to use the broader term “autistic” unless you know a person prefers to say they have Asperger’s, in which case you should respect that preference. Do not use such witticisms as “Asperger-ish men”, which had to be removed from our website"
261,aspirin,
262,"al-Assad, Bashar","became president of Syria in 2000 after the death of his father, Hafez al-Assad"
263,"assassin, assassination","the murder of prominent political figures rather than, say, celebrities"
264,assisted dying,is preferable to “assisted suicide”
265,"astrologer, astrology",horoscopes
266,"astronomer, astronomy",telescopes
267,astronomer royal,currently Lord Rees
268,Asunción,capital of Paraguay
269,asylum seeker,"Someone seeking refugee status or humanitarian protection; there is no such thing as an “illegal asylum seeker”, a term the Press Complaints Commission ruled in breach of its code of practice.

Refugees are people who have fled their home countries in fear for their lives, and may have been granted asylum under the 1951 refugee convention or qualify for humanitarian protection or discretionary leave, or have been granted exceptional leave to remain in Britain.

Someone who is refused asylum should be referred to as a refused asylum seeker, not a “failed asylum seeker”.

An asylum seeker can become an illegal immigrant only if he or she remains in Britain after having failed to respond to a removal notice"
270,Atacms,"for the missiles, not ATACMS. It’s short for army tactical missile system"
271,ATCU,"Associated Train Crew Union; not to be confused with ACTU, the Australian Council of Trade Unions"
272,athletics,"also known (particularly in the US) as track and field.

1500m but 5,000m (the former is the “fifteen hundred” not “one thousand five hundred” metres)"
273,Atlantic Ocean,or just the Atlantic
274,attache,no accent
275,attention deficit hyperactivity disorder,ADHD after first mention
276,"Attlee, Clement","(1883-1967) Labour prime minister 1945-51, often misspelt as Atlee"
277,attorney general,"lc, no hyphen; plural attorneys general"
278,auger,used to make holes
279,augur,predict or presage
280,Aum Shinrikyo,means Supreme Truth sect
281,Aung San Suu Kyi,"Use her full name (as with other Burmese names), even on second and subsequent mentions, in copy; if absolutely necessary, Suu Kyi is permissible in headlines"
282,Auntie,not Aunty if you must refer to the BBC in this way
283,au pair,
284,Auschwitz,"a Nazi death camp in German-occupied Poland, not a Polish death camp (see entry on “Polish death camps”)"
285,Australasia,Oceania is preferable. See Oceania
286,Australian Labor party,not Labour
287,autism,"Autism is a neurodevelopmental disorder, not an illness. Use only when referring to the condition, not as a term of abuse or in producing such witticisms as “mindless moral autism” and “Star Wars is a form of male autism”, both of which have appeared in the paper"
288,autistic people,"largely regard autism as a fundamental part of who they are, so dislike being described as having autism, or being people with autism/living with autism. Whenever possible, ask a person how they prefer to be described. (Further reading: National Autistic Society guidance on writing about autism ) autocorrect, autocomplete but auto-predict"
289,Autocue,TM; teleprompter is a generic alternative
290,Auto-Tune,"TM; also Auto-Tuned, etc"
291,autumn,
292,autumn statement,
293,AV,the alternative vote electoral system
294,avant garde,no hyphen
295,"average, mean and median","Although we loosely refer to the “average” in many contexts (eg pay), there are two useful averages worth distinguishing.

What is commonly known as the average is the mean: everyone’s wages are added up and divided by the number of wage earners. The median is described as “the value below which 50% of employees fall”, ie it is the wage earned by the middle person when everyone’s wages are lined up from smallest to largest. (For even numbers there are two middle people, but you calculate the mean average of their two wages.)

The median is often a more useful guide than the mean, which can be distorted by figures at one extreme or the other"
296,awaken,"Say “I woke up”, “I was woken up” and so on because the forms starting with A are either considered wrong (“I was awoken”) or sound wrong (“I was awakened”). The US grammarian Bryan A Garner says: “The past-tense and past-participial forms of ‘wake’ and its various siblings are perhaps the most vexing in the language.”

Exception: Star Wars: Episode VII – The Force Awakens"
297,awards and prizes,"are generally lc, eg Guardian first book award, Nobel peace prize (but note Academy Awards) lc for categories, eg Colin Firth won the best actor Oscar, Chipmunk was voted best newcomer at the 2008 Mobos, etc"
298,awol,"stands for “absent without leave” but, having been around since at least the 1920s, has established itself as a word in its own right"
